	Cylinders 	Displacement 	Horsepower 	Weight 	Acceleration 	Model Year 	USA 	Europe 	Japan
9 	1.483887	 1.865988 	2.234620	1.018782	-2.530891 	-1.604642 	0.774676 	-0.465148 	-0.495225
25 	1.483887 	1.578444 	2.890853 	1.925289 	-0.559020 	-1.604642 	0.774676 	-0.465148 	-0.495225
28 	1.483887 	1.041693 	2.313368 	2.063931 	1.054328 	-1.604642 	0.774676 	-0.465148 	-0.495225
31 	-0.869348 	-0.789008 	-0.259066 	-0.903250 	-0.559020 	-1.332580 	-1.286751 	-0.465148 	2.012852
33 	0.307270 	0.351586 	-0.127819 	-0.422150 	-0.917542 	-1.332580 	0.774676 	-0.465148 	-0.495225
39 	1.483887 	1.961837 	1.840880 	1.746357 	-1.455325 	-1.332580 	0.774676 	-0.465148 	-0.495225
40 	1.483887 	1.492180 	1.263395 	1.379015 	-0.738281 	-1.332580 	0.774676 	-0.465148 	-0.495225
43 	1.483887 	1.961837 	1.709634 	2.080521 	-1.276064 	-1.332580 	0.774676 	-0.465148 	-0.495225
48 	0.307270 	0.524113 	-0.442811 	0.176263 	-0.379759 	-1.332580 	0.774676 	-0.465148 	-0.495225
54 	-0.869348 	-1.181986 	-0.941548 	-1.632011 	0.875068 	-1.332580 	-1.286751 	-0.465148 	2.012852
